title,summary,authors,published,updated,url,pdf_url,matched_query,year
"The Role of Embodiment in Intuitive Whole-Body Teleoperation for Mobile
  Manipulation","Intuitive Teleoperation interfaces are essential for mobile manipulation
robots to ensure high quality data collection while reducing operator workload.
A strong sense of embodiment combined with minimal physical and cognitive
demands not only enhances the user experience during large-scale data
collection, but also helps maintain data quality over extended periods. This
becomes especially crucial for challenging long-horizon mobile manipulation
tasks that require whole-body coordination. We compare two distinct robot
control paradigms: a coupled embodiment integrating arm manipulation and base
navigation functions, and a decoupled embodiment treating these systems as
separate control entities. Additionally, we evaluate two visual feedback
mechanisms: immersive virtual reality and conventional screen-based
visualization of the robot's field of view. These configurations were
systematically assessed across a complex, multi-stage task sequence requiring
integrated planning and execution. Our results show that the use of VR as a
feedback modality increases task completion time, cognitive workload, and
perceived effort of the teleoperator. Coupling manipulation and navigation
leads to a comparable workload on the user as decoupling the embodiments, while
preliminary experiments suggest that data acquired by coupled teleoperation
leads to better imitation learning performance. Our holistic view on intuitive
teleoperation interfaces provides valuable insight into collecting
high-quality, high-dimensional mobile manipulation data at scale with the human
operator in mind. Project
website:https://sophiamoyen.github.io/role-embodiment-wbc-moma-teleop/","Sophia Bianchi Moyen, Rickmer Krohn, Sophie Lueth, Kay Pompetzki, Jan Peters, Vignesh Prasad, Georgia Chalvatzaki",2025-09-03T11:25:36Z,2025-09-03T11:25:36Z,http://arxiv.org/abs/2509.03222v1,http://arxiv.org/pdf/2509.03222v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"MoTo: A Zero-shot Plug-in Interaction-aware Navigation for General
  Mobile Manipulation","Mobile manipulation stands as a core challenge in robotics, enabling robots
to assist humans across varied tasks and dynamic daily environments.
Conventional mobile manipulation approaches often struggle to generalize across
different tasks and environments due to the lack of large-scale training.
However, recent advances in manipulation foundation models demonstrate
impressive generalization capability on a wide range of fixed-base manipulation
tasks, which are still limited to a fixed setting. Therefore, we devise a
plug-in module named MoTo, which can be combined with any off-the-shelf
manipulation foundation model to empower them with mobile manipulation ability.
Specifically, we propose an interaction-aware navigation policy to generate
robot docking points for generalized mobile manipulation. To enable zero-shot
ability, we propose an interaction keypoints framework via vision-language
models (VLM) under multi-view consistency for both target object and robotic
arm following instructions, where fixed-base manipulation foundation models can
be employed. We further propose motion planning objectives for the mobile base
and robot arm, which minimize the distance between the two keypoints and
maintain the physical feasibility of trajectories. In this way, MoTo guides the
robot to move to the docking points where fixed-base manipulation can be
successfully performed, and leverages VLM generation and trajectory
optimization to achieve mobile manipulation in a zero-shot manner, without any
requirement on mobile manipulation expert data. Extensive experimental results
on OVMM and real-world demonstrate that MoTo achieves success rates of 2.68%
and 16.67% higher than the state-of-the-art mobile manipulation methods,
respectively, without requiring additional training data.","Zhenyu Wu, Angyuan Ma, Xiuwei Xu, Hang Yin, Yinan Liang, Ziwei Wang, Jiwen Lu, Haibin Yan",2025-09-01T17:59:03Z,2025-09-01T17:59:03Z,http://arxiv.org/abs/2509.01658v1,http://arxiv.org/pdf/2509.01658v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"Minimizing AoI in Mobile Edge Computing: Nested Index Policy with
  Preemptive and Non-preemptive Structure","Mobile Edge Computing (MEC) leverages computational heterogeneity between
mobile devices and edge nodes to enable real-time applications requiring high
information freshness. The Age-of-Information (AoI) metric serves as a crucial
evaluator of information timeliness in such systems. Addressing AoI
minimization in multi-user MEC environments presents significant challenges due
to stochastic computing times. In this paper, we consider multiple users
offloading tasks to heterogeneous edge servers in an MEC system, focusing on
preemptive and non-preemptive task scheduling mechanisms. The problem is first
reformulated as a Restless Multi-Arm Bandit (RMAB) problem, with a multi-layer
Markov Decision Process (MDP) framework established to characterize AoI
dynamics in the MEC system. Based on the multi-layer MDP, we propose a nested
index framework and design a nested index policy with provably asymptotic
optimality. This establishes a theoretical framework adaptable to various
scheduling mechanisms, achieving efficient optimization through state
stratification and index design in both preemptive and non-preemptive modes.
Finally, the closed-form of the nested index is derived, facilitating
performance trade-offs between computational complexity and accuracy while
ensuring the universal applicability of the nested index policy across both
scheduling modes. The experimental results show that in non-preemptive
scheduling, compared with the benchmark method, the optimality gap is reduced
by 25.43%, while in preemptive scheduling, the gap has reduced by 61.84%. As
the system scale increases, it asymptotically converges in two scheduling modes
and especially provides near-optimal performance in non-preemptive structure.","Ning Yang, Yibo Liu, Shuo Chen, Meng Zhang, Haijun Zhang",2025-08-28T08:57:53Z,2025-08-28T08:57:53Z,http://arxiv.org/abs/2508.20564v1,http://arxiv.org/pdf/2508.20564v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"Integration of Robot and Scene Kinematics for Sequential Mobile
  Manipulation Planning","We present a Sequential Mobile Manipulation Planning (SMMP) framework that
can solve long-horizon multi-step mobile manipulation tasks with coordinated
whole-body motion, even when interacting with articulated objects. By
abstracting environmental structures as kinematic models and integrating them
with the robot's kinematics, we construct an Augmented Configuration Apace
(A-Space) that unifies the previously separate task constraints for navigation
and manipulation, while accounting for the joint reachability of the robot
base, arm, and manipulated objects. This integration facilitates efficient
planning within a tri-level framework: a task planner generates symbolic action
sequences to model the evolution of A-Space, an optimization-based motion
planner computes continuous trajectories within A-Space to achieve desired
configurations for both the robot and scene elements, and an intermediate plan
refinement stage selects action goals that ensure long-horizon feasibility. Our
simulation studies first confirm that planning in A-Space achieves an 84.6\%
higher task success rate compared to baseline methods. Validation on real
robotic systems demonstrates fluid mobile manipulation involving (i) seven
types of rigid and articulated objects across 17 distinct contexts, and (ii)
long-horizon tasks of up to 14 sequential steps. Our results highlight the
significance of modeling scene kinematics into planning entities, rather than
encoding task-specific constraints, offering a scalable and generalizable
approach to complex robotic manipulation.","Ziyuan Jiao, Yida Niu, Zeyu Zhang, Yangyang Wu, Yao Su, Yixin Zhu, Hangxin Liu, Song-Chun Zhu",2025-08-26T03:08:54Z,2025-08-26T03:08:54Z,http://arxiv.org/abs/2508.18627v1,http://arxiv.org/pdf/2508.18627v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"A Vision-Based Shared-Control Teleoperation Scheme for Controlling the
  Robotic Arm of a Four-Legged Robot","In hazardous and remote environments, robotic systems perform critical tasks
demanding improved safety and efficiency. Among these, quadruped robots with
manipulator arms offer mobility and versatility for complex operations.
However, teleoperating quadruped robots is challenging due to the lack of
integrated obstacle detection and intuitive control methods for the robotic
arm, increasing collision risks in confined or dynamically changing workspaces.
Teleoperation via joysticks or pads can be non-intuitive and demands a high
level of expertise due to its complexity, culminating in a high cognitive load
on the operator. To address this challenge, a teleoperation approach that
directly maps human arm movements to the robotic manipulator offers a simpler
and more accessible solution. This work proposes an intuitive remote control by
leveraging a vision-based pose estimation pipeline that utilizes an external
camera with a machine learning-based model to detect the operator's wrist
position. The system maps these wrist movements into robotic arm commands to
control the robot's arm in real-time. A trajectory planner ensures safe
teleoperation by detecting and preventing collisions with both obstacles and
the robotic arm itself. The system was validated on the real robot,
demonstrating robust performance in real-time control. This teleoperation
approach provides a cost-effective solution for industrial applications where
safety, precision, and ease of use are paramount, ensuring reliable and
intuitive robotic control in high-risk environments.","Murilo Vinicius da Silva, Matheus Hipolito Carvalho, Juliano Negri, Thiago Segreto, Gustavo J. G. Lahr, Ricardo V. Godoy, Marcelo Becker",2025-08-20T18:31:57Z,2025-08-20T18:31:57Z,http://arxiv.org/abs/2508.14994v1,http://arxiv.org/pdf/2508.14994v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"Bimanual Robot-Assisted Dressing: A Spherical Coordinate-Based Strategy
  for Tight-Fitting Garments","Robot-assisted dressing is a popular but challenging topic in the field of
robotic manipulation, offering significant potential to improve the quality of
life for individuals with mobility limitations. Currently, the majority of
research on robot-assisted dressing focuses on how to put on loose-fitting
clothing, with little attention paid to tight garments. For the former, since
the armscye is larger, a single robotic arm can usually complete the dressing
task successfully. However, for the latter, dressing with a single robotic arm
often fails due to the narrower armscye and the property of diminishing
rigidity in the armscye, which eventually causes the armscye to get stuck. This
paper proposes a bimanual dressing strategy suitable for dressing tight-fitting
clothing. To facilitate the encoding of dressing trajectories that adapt to
different human arm postures, a spherical coordinate system for dressing is
established. We uses the azimuthal angle of the spherical coordinate system as
a task-relevant feature for bimanual manipulation. Based on this new
coordinate, we employ Gaussian Mixture Model (GMM) and Gaussian Mixture
Regression (GMR) for imitation learning of bimanual dressing trajectories,
generating dressing strategies that adapt to different human arm postures. The
effectiveness of the proposed method is validated through various experiments.","Jian Zhao, Yunlong Lian, Andy M Tyrrell, Michael Gienger, Jihong Zhu",2025-08-17T07:45:34Z,2025-08-17T07:45:34Z,http://arxiv.org/abs/2508.12274v1,http://arxiv.org/pdf/2508.12274v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
Learning Task Execution Hierarchies for Redundant Robots,"Modern robotic systems, such as mobile manipulators, humanoids, and aerial
robots with arms, often possess high redundancy, enabling them to perform
multiple tasks simultaneously. Managing this redundancy is key to achieving
reliable and flexible behavior. A widely used approach is the Stack of Tasks
(SoT), which organizes control objectives by priority within a unified
framework. However, traditional SoTs are manually designed by experts, limiting
their adaptability and accessibility. This paper introduces a novel framework
that automatically learns both the hierarchy and parameters of a SoT from
user-defined objectives. By combining Reinforcement Learning and Genetic
Programming, the system discovers task priorities and control strategies
without manual intervention. A cost function based on intuitive metrics such as
precision, safety, and execution time guides the learning process. We validate
our method through simulations and experiments on the mobile-YuMi platform, a
dual-arm mobile manipulator with high redundancy. Results show that the learned
SoTs enable the robot to dynamically adapt to changing environments and inputs,
balancing competing objectives while maintaining robust task execution. This
approach provides a general and user-friendly solution for redundancy
management in complex robots, advancing human-centered robot programming and
reducing the need for expert design.","Alessandro Adami, Aris Synodinos, Matteo Iovino, Ruggero Carli, Pietro Falco",2025-08-14T16:06:58Z,2025-08-14T16:06:58Z,http://arxiv.org/abs/2508.10780v1,http://arxiv.org/pdf/2508.10780v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"Decentralized Rank Scheduling for Energy-Constrained Multi-Task
  Federated Fine-Tuning in Edge-Assisted IoV Networks","Federated fine-tuning has emerged as a promising approach for adapting
foundation models (FMs) to diverse downstream tasks in edge environments. In
Internet of Vehicles (IoV) systems, enabling efficient and low-latency
multi-task adaptation is particularly challenging due to client mobility,
heterogeneous resources, and intermittent connectivity. This paper proposes a
hierarchical federated fine-tuning framework that coordinates roadside units
(RSUs) and vehicles to support resource-aware and mobility-resilient learning
across dynamic IoV scenarios. Leveraging Low-Rank Adaptation (LoRA), we
introduce a decentralized, energy-aware rank adaptation mechanism formulated as
a constrained multi-armed bandit problem. A novel UCB-DUAL algorithm is
developed to enable adaptive exploration under per-task energy budgets,
achieving provable sublinear regret. To evaluate our method, we construct a
large-scale IoV simulator based on real-world trajectories, capturing dynamic
participation, RSU handoffs, and communication variability. Extensive
experiments show that our approach achieves the best accuracy-efficiency
trade-off among all baselines, reducing latency by over 24\% and improving
average accuracy by more than 2.5\%.","Bokeng Zheng, Jianqiang Zhong, Jiayi Liu, Xiaoxi Zhang",2025-08-13T06:29:00Z,2025-08-13T06:29:00Z,http://arxiv.org/abs/2508.09532v1,http://arxiv.org/pdf/2508.09532v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
"A Personalized Exercise Assistant using Reinforcement Learning (PEARL):
  Results from a four-arm Randomized-controlled Trial","Consistent physical inactivity poses a major global health challenge. Mobile
health (mHealth) interventions, particularly Just-in-Time Adaptive
Interventions (JITAIs), offer a promising avenue for scalable, personalized
physical activity (PA) promotion. However, developing and evaluating such
interventions at scale, while integrating robust behavioral science, presents
methodological hurdles. The PEARL study was the first large-scale, four-arm
randomized controlled trial to assess a reinforcement learning (RL) algorithm,
informed by health behavior change theory, to personalize the content and
timing of PA nudges via a Fitbit app.
  We enrolled and randomized 13,463 Fitbit users into four study arms: control,
random, fixed, and RL. The control arm received no nudges. The other three arms
received nudges from a bank of 155 nudges based on behavioral science
principles. The random arm received nudges selected at random. The fixed arm
received nudges based on a pre-set logic from survey responses about PA
barriers. The RL group received nudges selected by an adaptive RL algorithm. We
included 7,711 participants in primary analyses (mean age 42.1, 86.3% female,
baseline steps 5,618.2).
  We observed an increase in PA for the RL group compared to all other groups
from baseline to 1 and 2 months. The RL group had significantly increased
average daily step count at 1 month compared to all other groups: control (+296
steps, p=0.0002), random (+218 steps, p=0.005), and fixed (+238 steps,
p=0.002). At 2 months, the RL group sustained a significant increase compared
to the control group (+210 steps, p=0.0122). Generalized estimating equation
models also revealed a sustained increase in daily steps in the RL group vs.
control (+208 steps, p=0.002). These findings demonstrate the potential of a
scalable, behaviorally-informed RL approach to personalize digital health
interventions for PA.","Amy Armento Lee, Narayan Hegde, Nina Deliu, Emily Rosenzweig, Arun Suggala, Sriram Lakshminarasimhan, Qian He, John Hernandez, Martin Seneviratne, Rahul Singh, Pradnesh Kalkar, Karthikeyan Shanmugam, Aravindan Raghuveer, Abhimanyu Singh, My Nguyen, James Taylor, Jatin Alla, Sofia S. Villar, Hulya Emir-Farinas",2025-08-12T22:44:33Z,2025-08-12T22:44:33Z,http://arxiv.org/abs/2508.10060v1,http://arxiv.org/pdf/2508.10060v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
Hierarchical Placement Learning for Network Slice Provisioning,"In this work, we aim to address the challenge of slice provisioning in
edge-based mobile networks. We propose a solution that learns a service
function chain placement policy for Network Slice Requests, to maximize the
request acceptance rate, while minimizing the average node resource
utilization. To do this, we consider a Hierarchical Multi-Armed Bandit problem
and propose a two-level hierarchical bandit solution which aims to learn a
scalable placement policy that optimizes the stated objectives in an online
manner. Simulations on two real network topologies show that our proposed
approach achieves 5% average node resource utilization while admitting over 25%
more slice requests in certain scenarios, compared to baseline methods.","Jesutofunmi Ajayi, Antonio Di Maio, Torsten Braun",2025-08-08T16:20:24Z,2025-08-08T16:20:24Z,http://arxiv.org/abs/2508.06432v1,http://arxiv.org/pdf/2508.06432v1.pdf,all:robot arm AND all:mobile base AND submittedDate:[202309062236 TO 202509052236],2025
