title,summary,authors,published,updated,url,pdf_url,matched_query,year
"A Standing Support Mobility Robot for Enhancing Independence in Elderly
  Daily Living","This paper presents a standing support mobility robot ""Moby"" developed to
enhance independence and safety for elderly individuals during daily activities
such as toilet transfers. Unlike conventional seated mobility aids, the robot
maintains users in an upright posture, reducing physical strain, supporting
natural social interaction at eye level, and fostering a greater sense of
self-efficacy. Moby offers a novel alternative by functioning both passively
and with mobility support, enabling users to perform daily tasks more
independently. Its main advantages include ease of use, lightweight design,
comfort, versatility, and effective sit-to-stand assistance. The robot
leverages the Robot Operating System (ROS) for seamless control, featuring
manual and autonomous operation modes. A custom control system enables safe and
intuitive interaction, while the integration with NAV2 and LiDAR allows for
robust navigation capabilities. This paper reviews existing mobility solutions
and compares them to Moby, details the robot's design, and presents objective
and subjective experimental results using the NASA-TLX method and time
comparisons to other methods to validate our design criteria and demonstrate
the advantages of our contribution.","Ricardo J. Manríquez-Cisterna, Ankit A. Ravankar, Jose V. Salazar Luces, Takuro Hatsukari, Yasuhisa Hirata",2025-08-27T12:02:02Z,2025-08-27T12:02:02Z,http://arxiv.org/abs/2508.19816v1,http://arxiv.org/pdf/2508.19816v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
"SEBVS: Synthetic Event-based Visual Servoing for Robot Navigation and
  Manipulation","Event cameras offer microsecond latency, high dynamic range, and low power
consumption, making them ideal for real-time robotic perception under
challenging conditions such as motion blur, occlusion, and illumination
changes. However, despite their advantages, synthetic event-based vision
remains largely unexplored in mainstream robotics simulators. This lack of
simulation setup hinders the evaluation of event-driven approaches for robotic
manipulation and navigation tasks. This work presents an open-source,
user-friendly v2e robotics operating system (ROS) package for Gazebo simulation
that enables seamless event stream generation from RGB camera feeds. The
package is used to investigate event-based robotic policies (ERP) for real-time
navigation and manipulation. Two representative scenarios are evaluated: (1)
object following with a mobile robot and (2) object detection and grasping with
a robotic manipulator. Transformer-based ERPs are trained by behavior cloning
and compared to RGB-based counterparts under various operating conditions.
Experimental results show that event-guided policies consistently deliver
competitive advantages. The results highlight the potential of event-driven
perception to improve real-time robotic navigation and manipulation, providing
a foundation for broader integration of event cameras into robotic policy
learning. The GitHub repo for the dataset and code:
https://eventbasedvision.github.io/SEBVS/","Krishna Vinod, Prithvi Jai Ramesh, Pavan Kumar B N, Bharatesh Chakravarthi",2025-08-25T04:14:04Z,2025-08-25T04:14:04Z,http://arxiv.org/abs/2508.17643v1,http://arxiv.org/pdf/2508.17643v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
SLAM-based Safe Indoor Exploration Strategy,"This paper suggests a 2D exploration strategy for a planar space cluttered
with obstacles. Rather than using point robots capable of adjusting their
position and altitude instantly, this research is tailored to classical agents
with circular footprints that cannot control instantly their pose. Inhere, a
self-balanced dual-wheeled differential drive system is used to explore the
place. The system is equipped with linear accelerometers and angular
gyroscopes, a 3D-LiDAR, and a forward-facing RGB-D camera. The system performs
RTAB-SLAM using the IMU and the LiDAR, while the camera is used for loop
closures. The mobile agent explores the planar space using a safe skeleton
approach that places the agent as far as possible from the static obstacles.
During the exploration strategy, the heading is towards any offered openings of
the space. This space exploration strategy has as its highest priority the
agent's safety in avoiding the obstacles followed by the exploration of
undetected space. Experimental studies with a ROS-enabled mobile agent are
presented indicating the path planning strategy while exploring the space.","Omar Mostafa, Nikolaos Evangeliou, Anthony Tzes",2025-08-19T19:50:24Z,2025-08-19T19:50:24Z,http://arxiv.org/abs/2508.14235v1,http://arxiv.org/pdf/2508.14235v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
"Hierarchical Deep Deterministic Policy Gradient for Autonomous Maze
  Navigation of Mobile Robots","Maze navigation is a fundamental challenge in robotics, requiring agents to
traverse complex environments efficiently. While the Deep Deterministic Policy
Gradient (DDPG) algorithm excels in control tasks, its performance in maze
navigation suffers from sparse rewards, inefficient exploration, and
long-horizon planning difficulties, often leading to low success rates and
average rewards, sometimes even failing to achieve effective navigation. To
address these limitations, this paper proposes an efficient Hierarchical DDPG
(HDDPG) algorithm, which includes high-level and low-level policies. The
high-level policy employs an advanced DDPG framework to generate intermediate
subgoals from a long-term perspective and on a higher temporal scale. The
low-level policy, also powered by the improved DDPG algorithm, generates
primitive actions by observing current states and following the subgoal
assigned by the high-level policy. The proposed method enhances stability with
off-policy correction, refining subgoal assignments by relabeling historical
experiences. Additionally, adaptive parameter space noise is utilized to
improve exploration, and a reshaped intrinsic-extrinsic reward function is
employed to boost learning efficiency. Further optimizations, including
gradient clipping and Xavier initialization, are employed to improve
robustness. The proposed algorithm is rigorously evaluated through numerical
simulation experiments executed using the Robot Operating System (ROS) and
Gazebo. Regarding the three distinct final targets in autonomous maze
navigation tasks, HDDPG significantly overcomes the limitations of standard
DDPG and its variants, improving the success rate by at least 56.59% and
boosting the average reward by a minimum of 519.03 compared to baseline
algorithms.","Wenjie Hu, Ye Zhou, Hann Woei Ho",2025-08-07T03:06:22Z,2025-08-07T03:06:22Z,http://arxiv.org/abs/2508.04994v1,http://arxiv.org/pdf/2508.04994v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
"HuNavSim 2.0: An Enhanced Human Navigation Simulator for Human-Aware
  Robot Navigation","This work presents a new iteration of the Human Navigation Simulator
(HuNavSim), a novel open-source tool for the simulation of different
human-agent navigation behaviors in scenarios with mobile robots. The tool,
programmed under the ROS 2 framework, can be used together with different
well-known robotics simulators such as Gazebo or NVidia Isaac Sim. The main
goal is to facilitate the development and evaluation of human-aware robot
navigation systems in simulation. In this new version, several features have
been improved and new ones added, such as the extended set of actions and
conditions that can be combined in Behavior Trees to compound complex and
realistic human behaviors.","Miguel Escudero-Jiménez, Noé Pérez-Higueras, Andrés Martínez-Silva, Fernando Caballero, Luis Merino",2025-07-23T08:31:35Z,2025-07-25T07:41:24Z,http://arxiv.org/abs/2507.17317v2,http://arxiv.org/pdf/2507.17317v2.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
"CoNav Chair: Development and Evaluation of a Shared Control based
  Wheelchair for the Built Environment","As the global population of people with disabilities (PWD) continues to grow,
so will the need for mobility solutions that promote independent living and
social integration. Wheelchairs are vital for the mobility of PWD in both
indoor and outdoor environments. The current SOTA in powered wheelchairs is
based on either manually controlled or fully autonomous modes of operation,
offering limited flexibility and often proving difficult to navigate in
spatially constrained environments. Moreover, research on robotic wheelchairs
has focused predominantly on complete autonomy or improved manual control;
approaches that can compromise efficiency and user trust. To overcome these
challenges, this paper introduces the CoNav Chair, a smart wheelchair based on
the Robot Operating System (ROS) and featuring shared control navigation and
obstacle avoidance capabilities that are intended to enhance navigational
efficiency, safety, and ease of use for the user. The paper outlines the CoNav
Chair's design and presents a preliminary usability evaluation comparing three
distinct navigation modes, namely, manual, shared, and fully autonomous,
conducted with 21 healthy, unimpaired participants traversing an indoor
building environment. Study findings indicated that the shared control
navigation framework had significantly fewer collisions and performed
comparably, if not superior to the autonomous and manual modes, on task
completion time, trajectory length, and smoothness; and was perceived as being
safer and more efficient based on user reported subjective assessments of
usability. Overall, the CoNav system demonstrated acceptable safety and
performance, laying the foundation for subsequent usability testing with end
users, namely, PWDs who rely on a powered wheelchair for mobility.","Yifan Xu, Qianwei Wang, Jordan Lillie, Vineet Kamat, Carol Menassa, Clive D'Souza",2025-07-15T20:34:42Z,2025-07-15T20:34:42Z,http://arxiv.org/abs/2507.11716v1,http://arxiv.org/pdf/2507.11716v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
"Imitation Learning for Obstacle Avoidance Using End-to-End CNN-Based
  Sensor Fusion","Obstacle avoidance is crucial for mobile robots' navigation in both known and
unknown environments. This research designs, trains, and tests two custom
Convolutional Neural Networks (CNNs), using color and depth images from a depth
camera as inputs. Both networks adopt sensor fusion to produce an output: the
mobile robot's angular velocity, which serves as the robot's steering command.
A newly obtained visual dataset for navigation was collected in diverse
environments with varying lighting conditions and dynamic obstacles. During
data collection, a communication link was established over Wi-Fi between a
remote server and the robot, using Robot Operating System (ROS) topics.
Velocity commands were transmitted from the server to the robot, enabling
synchronized recording of visual data and the corresponding steering commands.
Various evaluation metrics, such as Mean Squared Error, Variance Score, and
Feed-Forward time, provided a clear comparison between the two networks and
clarified which one to use for the application.","Lamiaa H. Zain, Hossam H. Ammar, Raafat E. Shalaby",2025-07-10T18:53:44Z,2025-07-10T18:53:44Z,http://arxiv.org/abs/2507.08112v1,http://arxiv.org/pdf/2507.08112v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
Ark: An Open-source Python-based Framework for Robot Learning,"Robotics has made remarkable hardware strides-from DARPA's Urban and Robotics
Challenges to the first humanoid-robot kickboxing tournament-yet commercial
autonomy still lags behind progress in machine learning. A major bottleneck is
software: current robot stacks demand steep learning curves, low-level C/C++
expertise, fragmented tooling, and intricate hardware integration, in stark
contrast to the Python-centric, well-documented ecosystems that propelled
modern AI. We introduce ARK, an open-source, Python-first robotics framework
designed to close that gap. ARK presents a Gym-style environment interface that
allows users to collect data, preprocess it, and train policies using
state-of-the-art imitation-learning algorithms (e.g., ACT, Diffusion Policy)
while seamlessly toggling between high-fidelity simulation and physical robots.
A lightweight client-server architecture provides networked
publisher-subscriber communication, and optional C/C++ bindings ensure
real-time performance when needed. ARK ships with reusable modules for control,
SLAM, motion planning, system identification, and visualization, along with
native ROS interoperability. Comprehensive documentation and case studies-from
manipulation to mobile navigation-demonstrate rapid prototyping, effortless
hardware swapping, and end-to-end pipelines that rival the convenience of
mainstream machine-learning workflows. By unifying robotics and AI practices
under a common Python umbrella, ARK lowers entry barriers and accelerates
research and commercial deployment of autonomous robots.","Magnus Dierking, Christopher E. Mower, Sarthak Das, Huang Helong, Jiacheng Qiu, Cody Reading, Wei Chen, Huidong Liang, Huang Guowei, Jan Peters, Quan Xingyue, Jun Wang, Haitham Bou-Ammar",2025-06-24T20:23:39Z,2025-07-14T17:46:29Z,http://arxiv.org/abs/2506.21628v2,http://arxiv.org/pdf/2506.21628v2.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
Real-Time Initialization of Unknown Anchors for UWB-aided Navigation,"This paper presents a framework for the real-time initialization of unknown
Ultra-Wideband (UWB) anchors in UWB-aided navigation systems. The method is
designed for localization solutions where UWB modules act as supplementary
sensors. Our approach enables the automatic detection and calibration of
previously unknown anchors during operation, removing the need for manual
setup. By combining an online Positional Dilution of Precision (PDOP)
estimation, a lightweight outlier detection method, and an adaptive robust
kernel for non-linear optimization, our approach significantly improves
robustness and suitability for real-world applications compared to
state-of-the-art. In particular, we show that our metric which triggers an
initialization decision is more conservative than current ones commonly based
on initial linear or non-linear initialization guesses. This allows for better
initialization geometry and subsequently lower initialization errors. We
demonstrate the proposed approach on two different mobile robots: an autonomous
forklift and a quadcopter equipped with a UWB-aided Visual-Inertial Odometry
(VIO) framework. The results highlight the effectiveness of the proposed method
with robust initialization and low positioning error. We open-source our code
in a C++ library including a ROS wrapper.","Giulio Delama, Igor Borowski, Roland Jung, Stephan Weiss",2025-06-18T14:54:09Z,2025-06-18T14:54:09Z,http://arxiv.org/abs/2506.15518v1,http://arxiv.org/pdf/2506.15518v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
VAULT: A Mobile Mapping System for ROS 2-based Autonomous Robots,"Localization plays a crucial role in the navigation capabilities of
autonomous robots, and while indoor environments can rely on wheel odometry and
2D LiDAR-based mapping, outdoor settings such as agriculture and forestry,
present unique challenges that necessitate real-time localization and
consistent mapping. Addressing this need, this paper introduces the VAULT
prototype, a ROS 2-based mobile mapping system (MMS) that combines various
sensors to enable robust outdoor and indoor localization. The proposed solution
harnesses the power of Global Navigation Satellite System (GNSS) data,
visual-inertial odometry (VIO), inertial measurement unit (IMU) data, and the
Extended Kalman Filter (EKF) to generate reliable 3D odometry. To further
enhance the localization accuracy, Visual SLAM (VSLAM) is employed, resulting
in the creation of a comprehensive 3D point cloud map. By leveraging these
sensor technologies and advanced algorithms, the prototype offers a
comprehensive solution for outdoor localization in autonomous mobile robots,
enabling them to navigate and map their surroundings with confidence and
precision.","Miguel Á. González-Santamarta, Francisco J. Rodríguez-Lera, Vicente Matellán-Olivera",2025-06-11T10:26:32Z,2025-06-11T10:26:32Z,http://arxiv.org/abs/2506.09583v1,http://arxiv.org/pdf/2506.09583v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
