title,summary,authors,published,updated,url,pdf_url,matched_query,year
Equivariant Filter Design for Range-only SLAM,"Range-only Simultaneous Localisation and Mapping (RO-SLAM) is of interest due
to its practical applications in ultra-wideband (UWB) and Bluetooth Low Energy
(BLE) localisation in terrestrial and aerial applications and acoustic beacon
localisation in submarine applications. In this work, we consider a mobile
robot equipped with an inertial measurement unit (IMU) and a range sensor that
measures distances to a collection of fixed landmarks. We derive an equivariant
filter (EqF) for the RO-SLAM problem based on a symmetry Lie group that is
compatible with the range measurements. The proposed filter does not require
bootstrapping or initialisation of landmark positions, and demonstrates
robustness to the no-prior situation. The filter is demonstrated on a
real-world dataset, and it is shown to significantly outperform a
state-of-the-art EKF alternative in terms of both accuracy and robustness.","Yixiao Ge, Arthur Pearce, Pieter van Goor, Robert Mahony",2025-03-05T23:48:32Z,2025-03-05T23:48:32Z,http://arxiv.org/abs/2503.03973v1,http://arxiv.org/pdf/2503.03973v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2025
SODA: a Soft Origami Dynamic utensil for Assisted feeding,"SODA aims to revolutionize assistive feeding systems by designing a
multi-purpose utensil using origami-inspired artificial muscles. Traditional
utensils, such as forks and spoons,are hard and stiff, causing discomfort and
fear among users, especially when operated by autonomous robotic arms.
Additionally, these systems require frequent utensil changes to handle
different food types. Our innovative utensil design addresses these issues by
offering a versatile, adaptive solution that can seamlessly transition between
gripping and scooping various foods without the need for manual intervention.
Utilizing the flexibility and strength of origami-inspired artificial muscles,
the utensil ensures safe and comfortable interactions, enhancing user
experience and efficiency. This approach not only simplifies the feeding
process but also promotes greater independence for individuals with limited
mobility, contributing to the advancement of soft robotics in healthcare
applications.","Yuxin Ray Song, Shufan Wang",2024-10-25T13:42:03Z,2024-10-25T13:42:03Z,http://arxiv.org/abs/2410.19558v1,http://arxiv.org/pdf/2410.19558v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
A Soft Robotic Exosuit For Knee Extension Using Hyper-Bending Actuators,"Movement disorders impact muscle strength and mobility, and despite
therapeutic efforts, many people with movement disorders have challenges
functioning independently. Soft wearable robots, or exosuits, offer a promising
solution for continuous daily support, however, commercially viable devices are
not widely available. Here, we introduce a design framework for lower limb
exosuits centered on a soft pneumatically driven fabric-based actuator. Our
design consists of a novel multi-material textile sleeve that incorporates
braided mesh and knit-elastic materials to realize hyper-bending actuators. The
actuators incorporate 3D-printed self-sealing end caps that are attached to a
semi-rigid human-robot interface to secure them to the body. We will
demonstrate the effectiveness of our exosuit in generating enough force to
assist during sit-to-stand transitions.","Tuo Liu, Jonathan Realmuto",2024-09-19T00:12:29Z,2024-09-19T00:12:29Z,http://arxiv.org/abs/2410.02802v1,http://arxiv.org/pdf/2410.02802v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
"Investigating Mixed Reality for Communication Between Humans and Mobile
  Manipulators","This article investigates mixed reality (MR) to enhance human-robot
collaboration (HRC). The proposed solution adopts MR as a communication layer
to convey a mobile manipulator's intentions and upcoming actions to the humans
with whom it interacts, thus improving their collaboration. A user study
involving 20 participants demonstrated the effectiveness of this MR-focused
approach in facilitating collaborative tasks, with a positive effect on overall
collaboration performances and human satisfaction.","Mohamad Shaaban, Simone Macci`o, Alessandro Carf`ı, Fulvio Mastrogiovanni",2024-09-03T21:50:55Z,2024-09-03T21:50:55Z,http://arxiv.org/abs/2409.02312v1,http://arxiv.org/pdf/2409.02312v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
A Mini-Review on Mobile Manipulators with Variable Autonomy,"This paper presents a mini-review of the current state of research in mobile
manipulators with variable levels of autonomy, emphasizing their associated
challenges and application environments. The need for mobile manipulators in
different environments is evident due to the unique challenges and risks each
presents. Many systems deployed in these environments are not fully autonomous,
requiring human-robot teaming to ensure safe and reliable operations under
uncertainties. Through this analysis, we identify gaps and challenges in the
literature on Variable Autonomy, including cognitive workload and communication
delays, and propose future directions, including whole-body Variable Autonomy
for mobile manipulators, virtual reality frameworks, and large language models
to reduce operators' complexity and cognitive load in some challenging and
uncertain scenarios.","Cesar Alan Contreras, Alireza Rastegarpanah, Rustam Stolkin, Manolis Chiou",2024-08-20T14:18:35Z,2024-08-20T14:18:35Z,http://arxiv.org/abs/2408.10887v1,http://arxiv.org/pdf/2408.10887v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
"Person Transfer in the Field: Examining Real World Sequential
  Human-Robot Interaction Between Two Robots","With more robots being deployed in the world, users will likely interact with
multiple robots sequentially when receiving services. In this paper, we
describe an exploratory field study in which unsuspecting participants
experienced a ``person transfer'' -- a scenario in which they first interacted
with one stationary robot before another mobile robot joined to complete the
interaction. In our 7-hour study spanning 4 days, we recorded 18 instances of
person transfers with 40+ individuals. We also interviewed 11 participants
after the interaction to further understand their experience. We used the
recorded video and interview data to extract interesting insights about
in-the-field sequential human-robot interaction, such as mobile robot
handovers, trust in person transfer, and the importance of the robots'
positions. Our findings expose pitfalls and present important factors to
consider when designing sequential human-robot interaction.","Xiang Zhi Tan, Elizabeth J. Carter, Aaron Steinfeld",2024-06-11T02:59:34Z,2024-06-11T02:59:34Z,http://arxiv.org/abs/2406.06904v1,http://arxiv.org/pdf/2406.06904v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
"Advancing Behavior Generation in Mobile Robotics through High-Fidelity
  Procedural Simulations","This paper introduces YamaS, a simulator integrating Unity3D Engine with
Robotic Operating System for robot navigation research and aims to facilitate
the development of both Deep Reinforcement Learning (Deep-RL) and Natural
Language Processing (NLP). It supports single and multi-agent configurations
with features like procedural environment generation, RGB vision, and dynamic
obstacle navigation. Unique to YamaS is its ability to construct single and
multi-agent environments, as well as generating agent's behaviour through
textual descriptions. The simulator's fidelity is underscored by comparisons
with the real-world Yamabiko Beego robot, demonstrating high accuracy in sensor
simulations and spatial reasoning. Moreover, YamaS integrates Virtual Reality
(VR) to augment Human-Robot Interaction (HRI) studies, providing an immersive
platform for developers and researchers. This fusion establishes YamaS as a
versatile and valuable tool for the development and testing of autonomous
systems, contributing to the fields of robot simulation and AI-driven training
methodologies.","Victor A. Kich, Jair A. Bottega, Raul Steinmetz, Ricardo B. Grando, Ayanori Yorozu, Akihisa Ohya",2024-05-27T04:31:55Z,2024-05-27T04:31:55Z,http://arxiv.org/abs/2405.16818v1,http://arxiv.org/pdf/2405.16818v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
"Localization and Perception for Control of a Low Speed Autonomous
  Shuttle in a Campus Pilot Deployment","Future SAE Level 4 and Level 5 autonomous vehicles will require novel
applications of localization, perception, control and artificial intelligence
technology in order to offer innovative and disruptive solutions to current
mobility problems. Accurate localization is essential for self driving vehicle
navigation in GPS inaccessible environments. This thesis concentrates on low
speed autonomous shuttles that are mainly utilized for university campus
intelligent transportation systems and presents initial results of ongoing work
on developing solutions to the localization and perception challenges of a
university planned pilot deployment orientated application. The paper treats
autonomous driving with real time kinematics GPS (Global Positioning Systems)
with an inertial measurement unit (IMU), combined with simultaneous
localization and mapping (SLAM) with threedimensional light detection and
ranging (LIDAR) sensor, which provides solutions to scenarios where GPS is not
available or a lower cost and hence lower accuracy GPS is desirable. The
in-house automated low speed electric vehicle from the Automated Driving Lab is
used in experimental evaluation and verification. An improved version of Hector
SLAM was implemented on ROS and compared with high resolution GPS aided
localization framework in the same hardware architecture. The overall
configuration that combines ROS with DSpace controller can be easily
transplantable prototype in other hardware architectures for future similar
research. Real-world experiments that are reported here have been conducted in
a small test area close to the Ohio State University AV pilot test route. are
used for demonstrating the feasibility and robustness of this approach to
developing and evaluating low speed autonomous shuttle localization and
perception algorithms for control and decision making.",Bowen Wen,2024-04-02T21:38:39Z,2024-04-02T21:38:39Z,http://arxiv.org/abs/2407.00820v1,http://arxiv.org/pdf/2407.00820v1.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
"CARLOS: An Open, Modular, and Scalable Simulation Framework for the
  Development and Testing of Software for C-ITS","Future mobility systems and their components are increasingly defined by
their software. The complexity of these cooperative intelligent transport
systems (C-ITS) and the everchanging requirements posed at the software require
continual software updates. The dynamic nature of the system and the
practically innumerable scenarios in which different software components work
together necessitate efficient and automated development and testing procedures
that use simulations as one core methodology. The availability of such
simulation architectures is a common interest among many stakeholders,
especially in the field of automated driving. That is why we propose CARLOS -
an open, modular, and scalable simulation framework for the development and
testing of software in C-ITS that leverages the rich CARLA and ROS ecosystems.
We provide core building blocks for this framework and explain how it can be
used and extended by the community. Its architecture builds upon modern
microservice and DevOps principles such as containerization and continuous
integration. In our paper, we motivate the architecture by describing important
design principles and showcasing three major use cases - software prototyping,
data-driven development, and automated testing. We make CARLOS and example
implementations of the three use cases publicly available at
github.com/ika-rwth-aachen/carlos","Christian Geller, Benedikt Haas, Amarin Kloeker, Jona Hermens, Bastian Lampe, Till Beemelmanns, Lutz Eckstein",2024-04-02T10:48:36Z,2024-04-19T13:48:59Z,http://arxiv.org/abs/2404.01836v3,http://arxiv.org/pdf/2404.01836v3.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
"RHINO-VR Experience: Teaching Mobile Robotics Concepts in an Interactive
  Museum Exhibit","In 1997, the very first tour guide robot RHINO was deployed in a museum in
Germany. With the ability to navigate autonomously through the environment, the
robot gave tours to over 2,000 visitors. Today, RHINO itself has become an
exhibit and is no longer operational. In this paper, we present RHINO-VR, an
interactive museum exhibit using virtual reality (VR) that allows museum
visitors to experience the historical robot RHINO in operation in a virtual
museum. RHINO-VR, unlike static exhibits, enables users to familiarize
themselves with basic mobile robotics concepts without the fear of damaging the
exhibit. In the virtual environment, the user is able to interact with RHINO in
VR by pointing to a location to which the robot should navigate and observing
the corresponding actions of the robot. To include other visitors who cannot
use the VR, we provide an external observation view to make RHINO visible to
them. We evaluated our system by measuring the frame rate of the VR simulation,
comparing the generated virtual 3D models with the originals, and conducting a
user study. The user-study showed that RHINO-VR improved the visitors'
understanding of the robot's functionality and that they would recommend
experiencing the VR exhibit to others.","Erik Schlachhoff, Nils Dengler, Leif Van Holland, Patrick Stotko, Jorge de Heuvel, Reinhard Klein, Maren Bennewitz",2024-03-22T12:07:03Z,2024-06-10T13:22:41Z,http://arxiv.org/abs/2403.15151v2,http://arxiv.org/pdf/2403.15151v2.pdf,all:ROS AND all:mobile AND submittedDate:[202309062229 TO 202509052229],2024
